id,Quantity,InstallationDate,HealthScore,DateOfLastSpecificAction,DateOfLastStateRecording,ExtraArea,EnvironmentAgingRate,KnownApparentAge,SAIDI15min,ExtraAreaLevel2,EstimatedDowntime,CustomData_Number,CustomData_String,ConsequenceSpecificQuantity
BRESTL71LILLE_6_67_Pylones_Acier,1,1993-01-01,2,2011-08-14,2010-05-17,BRETAGNE,1,2,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_93""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71LILLE_6_67_Pylones_Acier_Agent,1,1993-01-01,1,2011-08-14,2010-05-17,BRETAGNE,1,2,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_94""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71LILLE_6_Lignes_Aeriennes_Homogene,3,1940-01-01,75,2013-09-27,2010-03-18,BRETAGNE,1,63,1,NANTES,21.0577,"{""LinearMassDensity"":0.4,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB3""}",
BRESTL71LILLE_6_Lignes_Souterraines_Synthetique,3,1921-01-01,14,2010-10-03,2012-08-14,BRETAGNE,1,9,1,NANTES,,"{""LinearMassDensity"":0.4,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB3""}",
BRESTL71LILLE_7_68_Pylones_Acier,1,1993-01-01,2,2012-01-25,2013-09-18,BRETAGNE,1,1,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_95""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71LILLE_7_68_Pylones_Acier_Agent,1,1993-01-01,5,2012-01-25,2013-09-18,BRETAGNE,1,1,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_96""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71LILLE_7_Lignes_Aeriennes_Homogene,3,1866-01-01,29,2014-02-03,2014-09-10,BRETAGNE,1,13,1,NANTES,,"{""LinearMassDensity"":0.4,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB3""}",
BRESTL71LILLE_7_Lignes_Souterraines_Synthetique,3,1937-01-01,78,2012-07-16,2012-02-05,BRETAGNE,1,62,1,NANTES,,"{""LinearMassDensity"":0.4,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB3""}",
BRESTL71LILLE_8_69_Pylones_Acier,1,1985-01-01,10,2014-06-08,2013-09-21,BRETAGNE,1,2,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_97""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71LILLE_8_69_Pylones_Acier_Agent,1,1985-01-01,5,2014-06-08,2013-09-21,BRETAGNE,1,2,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_98""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71LILLE_8_Lignes_Aeriennes_Homogene,3,1935-01-01,80,2013-09-21,2014-10-06,BRETAGNE,1,63,1,NANTES,,"{""LinearMassDensity"":0.4,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB3""}",
BRESTL71LILLE_8_Lignes_Souterraines_Synthetique,3,1950-01-01,65,2013-08-03,2013-09-10,BRETAGNE,1,21,1,NANTES,,"{""LinearMassDensity"":0.4,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB3""}",
BRESTL71LILLE_9_70_Pylones_Acier,1,1988-01-01,7,2012-09-16,2013-08-08,BRETAGNE,1,2,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_99""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71LILLE_9_70_Pylones_Acier_Agent,1,1988-01-01,5,2012-09-16,2013-08-08,BRETAGNE,1,2,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_100""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71LILLE_9_Lignes_Aeriennes_Homogene,3,1923-01-01,92,2012-06-16,2011-12-04,BRETAGNE,1,86,1,NANTES,,"{""LinearMassDensity"":0.4,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB3""}",
BRESTL71LILLE_9_Lignes_Souterraines_Synthetique,3,1953-01-01,62,2011-09-10,2013-05-23,BRETAGNE,1,2,1,NANTES,,"{""LinearMassDensity"":0.4,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB3""}",
BRESTL71PARIS_10_72_Pylones_Acier,1,1992-01-01,3,2010-01-17,2011-11-16,ANJOU,1,0,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_101""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_10_72_Pylones_Acier_Agent,1,1992-01-01,3,2010-01-17,2011-11-16,ANJOU,1,0,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_102""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_10_Lignes_Aeriennes_AluminiumAcier,3,1964-01-01,51,2011-09-04,2012-04-08,ANJOU,1,48,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_103""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_10_Lignes_Aeriennes_AluminiumAcier_Agent,3,1964-01-01,74,2011-09-04,2012-04-08,ANJOU,1,48,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_104""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_10_Lignes_Souterraines_Oleostatique,3,1970-01-01,45,2013-01-05,2013-03-14,ANJOU,1,17,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_105""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_10_Lignes_Souterraines_Oleostatique_Agent,3,1970-01-01,30,2013-01-05,2013-03-14,ANJOU,1,17,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_106""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_1_71_Pylones_Acier,1,1992-01-01,3,2010-02-22,2012-05-04,ANJOU,1,3,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_107""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_1_71_Pylones_Acier_Agent,1,1992-01-01,8,2010-02-22,2012-05-04,ANJOU,1,3,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_108""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_1_Lignes_Aeriennes_AluminiumAcier,3,1943-01-01,72,2012-10-11,2011-09-22,ANJOU,1,58,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_109""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_1_Lignes_Aeriennes_AluminiumAcier_Agent,3,1943-01-01,79,2012-10-11,2011-09-22,ANJOU,1,58,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_110""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_1_Lignes_Souterraines_Oleostatique,3,1973-01-01,42,2010-07-20,2014-06-21,ANJOU,1,35,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_111""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_1_Lignes_Souterraines_Oleostatique_Agent,3,1973-01-01,29,2010-07-20,2014-06-21,ANJOU,1,35,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_112""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_2_73_Pylones_Acier,1,1995-01-01,20,2010-09-11,2010-04-03,ANJOU,1,8,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_113""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_2_73_Pylones_Acier_Agent,1,1995-01-01,9,2010-09-11,2010-04-03,ANJOU,1,8,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_114""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_2_Lignes_Aeriennes_AluminiumAcier,3,1958-01-01,57,2014-04-17,2012-02-24,ANJOU,1,18,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_115""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_2_Lignes_Aeriennes_AluminiumAcier_Agent,3,1958-01-01,50,2014-04-17,2012-02-24,ANJOU,1,18,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_116""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_2_Lignes_Souterraines_Oleostatique,3,1969-01-01,46,2011-10-21,2012-04-01,ANJOU,1,23,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_117""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_2_Lignes_Souterraines_Oleostatique_Agent,3,1969-01-01,23,2011-10-21,2012-04-01,ANJOU,1,23,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_118""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_3_74_Pylones_Acier,1,1988-01-01,7,2012-10-04,2012-02-05,ANJOU,1,6,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_119""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_3_74_Pylones_Acier_Agent,1,1988-01-01,4,2012-10-04,2012-02-05,ANJOU,1,6,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_120""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_3_Lignes_Aeriennes_AluminiumAcier,3,1929-01-01,1,2011-03-01,2013-01-12,ANJOU,1,0,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_121""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_3_Lignes_Aeriennes_AluminiumAcier_Agent,3,1929-01-01,71,2011-03-01,2013-01-12,ANJOU,1,0,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_122""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_3_Lignes_Souterraines_Oleostatique,3,1977-01-01,38,2010-10-20,2012-06-08,ANJOU,1,1,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_123""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_3_Lignes_Souterraines_Oleostatique_Agent,3,1977-01-01,29,2010-10-20,2012-06-08,ANJOU,1,1,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_124""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_4_75_Pylones_Acier,1,1998-01-01,17,2014-05-26,2014-11-01,ANJOU,1,13,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_125""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_4_75_Pylones_Acier_Agent,1,1998-01-01,8,2014-05-26,2014-11-01,ANJOU,1,13,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_126""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_4_Lignes_Aeriennes_AluminiumAcier,3,1973-01-01,42,2013-07-26,2013-09-03,ANJOU,1,1,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_127""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_4_Lignes_Aeriennes_AluminiumAcier_Agent,3,1973-01-01,61,2013-07-26,2013-09-03,ANJOU,1,1,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_128""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_4_Lignes_Souterraines_Oleostatique,3,1967-01-01,48,2010-08-22,2014-01-21,ANJOU,1,42,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_129""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_4_Lignes_Souterraines_Oleostatique_Agent,3,1967-01-01,28,2010-08-22,2014-01-21,ANJOU,1,42,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_130""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_5_76_Pylones_Acier,1,1995-01-01,20,2010-04-28,2010-10-21,ANJOU,1,14,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_131""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_5_76_Pylones_Acier_Agent,1,1995-01-01,6,2010-04-28,2010-10-21,ANJOU,1,14,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_132""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_5_Lignes_Aeriennes_AluminiumAcier,3,1939-01-01,76,2011-08-17,2013-11-10,ANJOU,1,19,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_133""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_5_Lignes_Aeriennes_AluminiumAcier_Agent,3,1939-01-01,42,2011-08-17,2013-11-10,ANJOU,1,19,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_134""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_5_Lignes_Souterraines_Oleostatique,3,1980-01-01,35,2014-04-12,2014-08-10,ANJOU,1,7,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_135""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_5_Lignes_Souterraines_Oleostatique_Agent,3,1980-01-01,29,2014-04-12,2014-08-10,ANJOU,1,7,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_136""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_6_77_Pylones_Acier,1,1990-01-01,5,2014-12-13,2011-11-08,ANJOU,1,4,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_137""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_6_77_Pylones_Acier_Agent,1,1990-01-01,8,2014-12-13,2011-11-08,ANJOU,1,4,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_138""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_6_Lignes_Aeriennes_AluminiumAcier,3,1932-01-01,83,2014-11-18,2011-08-25,ANJOU,1,83,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_139""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_6_Lignes_Aeriennes_AluminiumAcier_Agent,3,1932-01-01,82,2014-11-18,2011-08-25,ANJOU,1,83,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_140""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_6_Lignes_Souterraines_Oleostatique,3,1952-01-01,13,2010-07-15,2010-04-14,ANJOU,1,6,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_141""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_6_Lignes_Souterraines_Oleostatique_Agent,3,1952-01-01,23,2010-07-15,2010-04-14,ANJOU,1,6,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_142""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_7_78_Pylones_Acier,1,1996-01-01,19,2011-05-11,2012-06-14,ANJOU,1,12,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_143""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_7_78_Pylones_Acier_Agent,1,1996-01-01,2,2011-05-11,2012-06-14,ANJOU,1,12,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_144""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_7_Lignes_Aeriennes_AluminiumAcier,3,1945-01-01,70,2012-09-19,2010-10-25,ANJOU,1,12,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_145""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_7_Lignes_Aeriennes_AluminiumAcier_Agent,3,1945-01-01,78,2012-09-19,2010-10-25,ANJOU,1,12,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_146""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_7_Lignes_Souterraines_Oleostatique,3,1952-01-01,13,2014-10-28,2010-11-20,ANJOU,1,0,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_147""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_7_Lignes_Souterraines_Oleostatique_Agent,3,1952-01-01,25,2014-10-28,2010-11-20,ANJOU,1,0,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_148""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_8_79_Pylones_Acier,1,1987-01-01,8,2010-01-06,2010-08-16,ANJOU,1,6,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_149""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_8_79_Pylones_Acier_Agent,1,1987-01-01,3,2010-01-06,2010-08-16,ANJOU,1,6,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_150""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_8_Lignes_Aeriennes_AluminiumAcier,3,1938-01-01,77,2010-09-16,2010-05-12,ANJOU,1,77,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_151""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_8_Lignes_Aeriennes_AluminiumAcier_Agent,3,1938-01-01,78,2010-09-16,2010-05-12,ANJOU,1,77,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_152""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_8_Lignes_Souterraines_Oleostatique,3,1969-01-01,46,2011-02-27,2012-03-16,ANJOU,1,30,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_153""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_8_Lignes_Souterraines_Oleostatique_Agent,3,1969-01-01,25,2011-02-27,2012-03-16,ANJOU,1,30,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_154""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_9_80_Pylones_Acier,1,1985-01-01,10,2010-06-16,2010-03-14,ANJOU,1,10,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_155""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_9_80_Pylones_Acier_Agent,1,1985-01-01,4,2010-06-16,2010-03-14,ANJOU,1,10,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_156""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_9_Lignes_Aeriennes_AluminiumAcier,3,1945-01-01,70,2010-06-23,2013-07-11,ANJOU,1,47,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_157""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
BRESTL71PARIS_9_Lignes_Aeriennes_AluminiumAcier_Agent,3,1945-01-01,47,2010-06-23,2013-07-11,ANJOU,1,47,1,NANTES,7.01923,"{""Weight"":30}","{""IsActif"":""true"",""RateLevel"":""HTB3"",""SerialNumber"":""AgCo_158""}","{""FinancialConsequence"":6666.0,""EnvironmentalConsequence"":2222.0,""NetworkConsequence"":4444.0}"
